id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
2724,Green,Jeff,MEM,SF,@ WAS,34.00,14.40,1.02,4.57,1.88,0.67,0.32,1.72,4.28,2.78,0.56,5.30,6.17,0.03,0.00,4400,17,5100,8250,0,77800,0,7700,4100,SF,PF,SF,SG;SF,,,,F,F
2370,Ariza,Trevor,HOU,SF,@ ORL,33.00,11.12,2.57,4.82,2.43,1.79,0.22,1.81,1.08,1.24,0.32,3.65,5.71,0.02,0.00,5500,23,5700,11000,0,95600,0,10400,4500,SF,SF,SF,SG;SF,,,,F,F
3005,Hill,Jordan,IND,C,SAC,24.00,9.45,0.00,8.23,1.67,0.57,0.57,1.46,4.05,1.35,0.52,4.05,4.84,0.19,0.00,5000,14,5100,10400,0,92800,0,10800,4300,C,PF,PF,PF;C,,C,,C,C
2757,Stuckey,Rodney,IND,SG,SAC,27.00,13.02,0.89,3.67,3.24,0.88,0.12,1.76,3.99,2.37,0.45,4.88,6.24,0.02,0.00,4800,11,4400,8250,0,75400,0,8700,4000,SG,SG,SG,PG;SG,,,,G,G
3689,Caldwell-Pope,Kentavious,DET,SG,@ ATL,39.00,14.13,2.02,2.96,2.07,1.33,0.09,1.26,3.20,1.67,0.47,5.22,7.86,0.01,0.00,6000,21,5400,11250,0,105800,0,10900,4700,SG,SG,SG,SG,,,,G,G
3475,Fournier,Evan,ORL,SG,HOU,30.00,13.61,1.73,3.43,2.42,1.13,0.00,1.58,3.15,2.11,0.55,4.88,6.18,0.02,0.00,5100,20,4700,9550,0,74900,0,9500,4300,SG,SG,SF,SG;SF,,,,G,G
3089,Matthews,Wesley,DAL,SG,@ BKN,32.00,13.53,2.77,3.13,1.92,1.39,0.17,1.27,1.93,1.35,0.30,4.70,6.59,0.02,0.00,5200,21,5400,9400,0,77700,0,8200,4200,SG,SG,SG,SG;SF,,,,G,G
2428,Felton,Raymond,DAL,PG,@ BKN,29.00,9.85,1.00,3.26,4.10,1.56,0.24,1.55,2.74,1.38,0.37,3.74,5.37,0.01,0.00,4900,15,5400,8800,0,88700,0,9000,4300,PG,PG,SG,PG;SG,,,,G,G
1983,Randolph,Zach,MEM,PF,@ WAS,25.00,11.36,0.00,7.26,1.47,0.60,0.11,1.78,4.70,1.96,0.58,4.70,4.69,0.20,0.00,5900,24,5900,10550,0,82800,0,10400,4700,PF,PF,PF,PF;C,,,,F,F
2148,Parker,Tony,SAS,PG,@ MIN,26.00,12.32,0.23,2.03,4.57,0.81,0.12,1.62,4.94,1.75,0.49,5.17,4.51,0.02,0.00,5500,22,5000,10300,0,90600,0,11000,4750,PG,PG,PG,PG,,,,G,G
3678,Zeller,Cody,CHA,PF,BOS,26.00,9.28,0.04,6.31,1.73,0.71,0.90,0.87,3.13,2.89,0.91,3.17,4.18,0.05,0.00,4200,11,4700,8100,0,66100,0,8500,3900,PF,C,PF,PF;C,,,,F,C
2717,Dudley,Jared,WAS,SF,MEM,36.00,9.98,1.71,4.65,2.36,1.59,0.33,1.36,1.84,1.18,0.46,3.55,4.27,0.01,0.00,4100,12,4600,8100,0,71800,0,8400,3800,SF,SF,SF,SG;SF,,,,F,G
3946,Randle,Julius,LAL,PF,OKC,24.00,9.95,0.00,6.74,1.52,0.72,0.63,1.44,3.45,3.04,1.34,3.45,5.02,0.05,0.00,5700,25,6000,9550,0,85400,0,10900,4800,PF,PF,PF,PF,,,,F,F
3674,Schroder,Dennis,ATL,PG,DET,22.00,11.37,0.91,2.66,5.23,0.47,0.05,2.02,3.46,1.72,0.36,4.37,6.09,0.05,0.00,4700,13,5100,9650,0,85400,0,9500,4300,PG,PG,PG,PG,,,,G,G
3932,LaVine,Zach,MIN,SG,SAS,24.00,12.64,0.88,3.11,3.81,0.48,0.06,1.91,3.72,2.57,0.35,4.60,7.19,0.02,0.00,5400,21,5300,8950,0,77300,0,9500,4400,SG,SG,PG,PG;SG,,,,G,G
5039,Oubre,Kelly,WAS,SF,MEM,28.00,13.04,1.48,4.80,0.94,0.99,0.16,1.23,3.13,2.34,1.00,4.61,6.91,0.02,0.00,3700,11,3700,0,0,36200,0,0,3500,SF,SF,SF,,,,,,F
3766,Covington,Robert,PHI,SF,@ MIL,24.00,12.51,2.21,4.62,1.45,1.17,0.50,2.31,1.67,2.55,0.58,3.87,5.67,0.02,0.00,5700,25,6200,10550,0,82300,0,9800,4550,SF,PF,SF,SF;PF,,,,F,F
2445,Ilyasova,Ersan,DET,PF,@ ATL,28.00,11.37,1.69,5.23,1.27,0.86,0.49,1.24,2.43,1.44,0.54,4.12,5.57,0.05,0.00,5200,20,5100,9950,0,85100,0,9100,4300,PF,PF,PF,SF;PF,,,,F,F
3163,Booker,Trevor,UTA,PF,@ GSW,26.00,8.46,0.22,7.01,1.31,0.85,0.79,1.19,3.23,1.34,0.87,3.45,3.48,0.12,0.00,4400,12,4300,7150,0,64400,0,8000,3800,PF,PF,PF,PF,,,,F,F
3925,Hood,Rodney,UTA,SG,@ GSW,32.00,12.29,1.52,2.98,2.85,0.87,0.31,1.76,2.94,1.84,0.40,4.46,7.10,0.01,0.00,4600,18,4600,8650,0,69900,0,8400,3850,SG,SG,SG,SG;SF,,,,G,G
3374,Kanter,Enes,OKC,C,@ LAL,19.00,10.73,0.00,7.62,0.63,0.17,0.28,1.06,4.11,2.52,0.72,4.11,3.26,0.18,0.00,4800,14,4200,9750,0,83400,0,9800,4000,C,C,C,C,,C,,C,C
3391,Parsons,Chandler,DAL,SF,@ BKN,28.00,12.63,1.52,3.66,2.09,0.78,0.28,1.68,3.42,1.22,0.45,4.94,5.32,0.02,0.00,4300,13,4700,8500,0,61200,0,6600,4300,SF,SF,SF,SF;PF,,,,F,F
3908,Capela,Clint,HOU,PF,@ ORL,21.00,7.86,0.00,7.21,0.57,0.78,1.27,0.98,3.40,1.05,1.28,3.40,2.65,0.10,0.00,4900,16,5500,8700,0,85500,0,10000,4500,PF,PF,C,PF;C,,C,,C,C
3020,Collison,Darren,SAC,PG,@ IND,27.00,11.68,1.17,2.18,4.06,1.03,0.11,2.22,3.02,2.13,0.46,4.19,4.55,0.02,0.00,5200,19,4900,9650,0,73900,0,9600,4000,PG,PG,PG,PG,,,,G,G
2702,Afflalo,Arron,NYK,SG,@ CLE,33.00,13.95,1.42,3.73,1.56,0.36,0.10,1.33,3.96,1.77,0.39,5.38,6.73,0.02,0.00,5000,17,5000,9300,0,81600,0,9800,4450,SG,SG,SG,SG;SF,,,,G,G
3956,Warren,TJ,PHO,SF,DEN,26.00,11.97,0.33,3.75,1.17,0.84,0.49,0.74,4.93,1.11,0.41,5.27,5.55,0.01,0.00,3900,11,4500,7750,0,73300,0,7900,4200,SF,SF,SF,SF,,,,F,F
2828,Gordon,Eric,NOR,SG,POR,30.00,13.18,2.16,1.89,2.51,0.88,0.18,1.24,2.06,2.56,0.52,4.23,6.10,0.01,0.00,5000,23,5000,10050,0,83900,0,9200,4400,SG,SG,SG,SG,,,,G,G
3921,Grant,Jerami,PHI,PF,@ MIL,26.00,9.71,0.54,4.09,1.45,0.72,1.54,1.37,2.66,2.75,1.48,3.21,4.76,0.01,0.00,4300,18,4200,7900,0,65700,0,8000,3700,PF,SF,SF,SF;PF,,,,F,F
3720,Len,Alex,PHO,C,DEN,21.00,8.21,0.00,6.47,0.57,0.64,1.69,1.54,3.14,1.92,0.82,3.14,2.64,0.04,0.00,4800,16,4900,7500,0,75600,0,9000,4350,C,C,C,C,,C,,C,C
2455,Mahinmi,Ian,IND,C,SAC,23.00,6.47,0.00,7.49,1.34,0.66,1.09,1.14,2.75,0.97,1.29,2.75,2.56,0.03,0.00,5300,16,4800,8250,0,70900,0,10300,4200,C,C,C,C,,C,,C,C
3711,Adams,Steven,OKC,C,@ LAL,25.00,7.06,0.00,7.36,0.93,0.37,1.20,0.74,2.78,1.49,1.35,2.78,2.03,0.10,0.00,4100,10,4000,7600,0,64200,0,8000,3900,C,C,C,C,,C,,C,C
2289,Iguodala,Andre,GSW,SF,UTA,27.00,7.35,0.92,4.01,3.39,1.30,0.34,0.95,1.96,0.67,0.35,2.88,3.12,0.01,0.00,4600,23,5200,8900,0,72100,0,9300,4200,SF,SF,SF,SG;SF,,,,F,G
2842,Koufos,Kosta,SAC,C,@ IND,23.00,7.41,0.00,7.77,0.35,0.53,0.96,0.72,3.22,0.96,0.63,3.22,2.96,0.10,0.00,4200,12,4300,7450,0,60200,0,8300,4100,C,C,C,PF;C,,C,,C,C
3369,Irving,Kyrie,CLE,PG,NYK,20.00,12.09,0.89,2.00,2.59,1.00,0.10,1.08,3.56,2.31,0.33,4.45,5.21,0.01,0.00,7700,31,6600,8550,0,113600,0,18000,5500,PG,PG,PG,PG;SG,,,,G,G
3620,Waiters,Dion,OKC,SG,@ LAL,28.00,11.13,1.02,3.18,2.12,1.15,0.18,1.34,3.35,1.37,0.57,4.37,5.88,0.01,0.00,4200,12,4000,7650,0,69300,0,7600,3800,SG,SG,SG,SG;SF,,,,G,G
1821,Ginobili,Manu,SAS,SG,@ MIN,20.00,9.86,1.23,2.94,4.01,0.85,0.25,2.32,2.15,1.88,0.61,3.37,4.02,0.01,0.00,4500,14,4100,8050,0,65800,0,8500,4000,SG,SG,SG,SG;SF,,,,G,G
