playernm_full,playernm_first,playernm_last,pos,team,numberfire_id,cbssports_id,espn_id,fantasypros_id,foxsports_id,rotogrinders_id,rotowire_id,rotoguru_id
"Giovani Bernard (RB, CIN)",Giovani,Bernard,RB, CIN,52079,1737248,15826,11644,5386,16537,8622,2889
"Dwayne Bowe (WR, CLE)",Dwayne,Bowe,WR, CLE,579,406856,10467,9203,4850,12234,5278,3661
"Marques Colston (WR, NO)",Marques,Colston,WR, NO,537,408644,9838,9427,4806,12185,4884,3602
"John Brown (WR, ARI)",John,Brown,WR, ARI,52449,2129438,16804,12231,5220,18357,9684,5264
"Brandon Bolden (RB, NE)",Brandon,Bolden,RB, NE,51833,1632301,15478,11410,5200,13620,8077,2874
"Amari Cooper (WR, OAK)",Amari,Cooper,WR, OAK,52784,1984220,17677,13894,5543,21757,10055,5376
"Rueben Randle (WR, NYG)",Rueben,Randle,WR, NYG,4476,1679976,14911,11202,5247,13588,8049,5158
"Eric Decker (WR, NYJ)",Eric,Decker,WR, NYJ,2166,584290,13271,9708,4933,12404,6505,3902
"Devin Funchess (WR, CAR)",Devin,Funchess,WR, CAR,52782,2001877,17682,13915,5556,21725,10138,5381
"Ryan Mathews (RB, PHI)",Ryan,Mathews,RB, PHI,2208,1273854,13204,9687,5108,11698,6449,2754
"Doug Baldwin (WR, SEA)",Doug,Baldwin,WR, SEA,4456,1244486,14221,10992,5069,13090,7963,5136
"Eddie Royal (WR, CHI)",Eddie,Royal,WR, CHI,618,516510,11276,9208,4870,18339,5690,3748
"Malcom Floyd (WR, SD)",Malcom,Floyd,WR, SD,548,493614,6016,9410,4874,12199,5080,3547
"Brian Hartline (WR, CLE)",Brian,Hartline,WR, CLE,560,563622,12568,9077,4929,12264,6114,3858
"Danny Amendola (WR, NE)",Danny,Amendola,WR, NE,614,516968,11674,9146,4879,12184,5813,3851
"Delanie Walker (TE, TEN)",Delanie,Walker,TE, TEN,1102,1109396,9761,9172,4844,11841,4888,4360
"Percy Harvin (WR, BUF)",Percy,Harvin,WR, BUF,556,1114598,12569,9505,4980,12238,5974,3802
"Kenny Stills (WR, MIA)",Kenny,Stills,WR, MIA,52171,1737295,16016,11611,5375,16577,8800,5212
"David Johnson (RB, ARI)",David,Johnson,RB, ARI,52809,1760290,17442,9164,5558,11845,10148,4450
"Terrance Williams (WR, DAL)",Terrance,Williams,WR, DAL,52113,1632384,15878,11627,5148,16568,8794,5216
"Brian Quick (WR, STL)",Brian,Quick,WR, STL,4468,1687422,14914,11212,5046,13587,8095,5157
"Owen Daniels (TE, DEN)",Owen,Daniels,TE, DEN,896,409170,9684,9496,4796,11799,4898,4335
"Charles Sims (RB, TB)",Charles,Sims,RB, TB,52441,1691483,16749,12104,5285,18290,9519,2931
"Jordan Reed (TE, WSH)",Jordan,Reed,TE, WSH,52122,1691412,15860,11690,5293,16587,8615,4573
